;Papel;Segmento;Cotação;FFO Yield;Dividend Yield;Dividendos;P/VP;Bola de neve;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média;Endereço
0;AAZQ11;Títulos e Val. Mob.;7,21;0,2088;0,01495;0,11;0,76;66;R$ 173 M;1291010.0;0;0,0;0,0;0,0;0,0;
7;AGRX11;Híbrido;9,7;0,1385;0,012875;0,12;0,96;81;R$ 173 M;293759.0;0;0,0;0,0;0,0;0,0;
12;ALZM11;Títulos e Val. Mob.;8,03;0,0721;0,010067;0,08;0,96;101;R$ 121 M;192503.0;0;0,0;0,0;0,0;0,0;
15;APTO11;Híbrido;9,51;0,1085;0,00915;0,09;0,94;106;R$ 43 M;24341.0;4;17572,4;1193,43;0,0679;0,0;"Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70  Jardim Paulista  Estado
de São Paulo,Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP,Alameda Fernão Cardim, 70 e 72  Jardim Paulista  Estado
de São Paulo"
19;ARRI11;Títulos e Val. Mob.;9,04;0,0791;0,010292;0,09;1,03;101;R$ 138 M;448540.0;0;0,0;0,0;0,0;0,0;
33;BCFF11;Títulos e Val. Mob.;8,38;0,0967;0,008033;0,07;0,88;120;R$ 1 B;2664940.0;0;0,0;0,0;0,0;0,0;Avenida Das Nacoes Unidas, 14261, Sem Complemento, Vila Gertrudes, Sao Paulo/SP, Brasil, 04794-000
38;BIME11;Híbrido;7,23;0,1265;0,010317;0,07;0,84;104;R$ 42 M;72890.0;3;303,74;0,0;0,0;0,0;Matrícula- 237.131 14º RI,2% - BRIO MULTI,14% - BRIO MULTI
60;BTCI11;Títulos e Val. Mob.;9,9;0,1131;0,009083;0,09;0,97;111;R$ 985 M;2236510.0;0;0,0;0,0;0,0;0,0;
87;CPTR11;Títulos e Val. Mob.;8,13;0,1578;0,012275;0,1;0,83;82;R$ 336 M;1364710.0;0;0,0;0,0;0,0;0,0;
88;CPTS11;Títulos e Val. Mob.;8,27;0,0658;0,009183;0,08;0,93;104;R$ 2 B;9020540.0;0;0,0;0,0;0,0;0,0;
100;DCRA11;Títulos e Val. Mob.;8,28;0,1711;0,012333;0,1;0,86;83;R$ 55 M;119198.0;0;0,0;0,0;0,0;0,0;
107;DVFF11;Híbrido;7,5;0,0275;0,009275;0,07;0,83;108;R$ 82 M;43232.0;0;0,0;0,0;0,0;0,0;
113;EQIR11;Títulos e Val. Mob.;8,95;0,0716;0,010442;0,09;0,91;100;R$ 97 M;272927.0;0;0,0;0,0;0,0;0,0;
118;EXES11;Títulos e Val. Mob.;9,85;0,1067;0,007683;0,08;1,07;124;R$ 57 M;3707.0;0;0,0;0,0;0,0;0,0;
125;FGAA11;Híbrido;8,49;0,1411;0,012367;0,1;0,88;85;R$ 382 M;1360400.0;0;0,0;0,0;0,0;0,0;
145;GALG11;Híbrido;9,08;0,0516;0,005167;0,05;0,96;182;R$ 1 B;0.0;3;308,51;39,16;0,12689999999999999;0,0;Rua David Canabarro, 600 ,EST DOM JOSE ANTONIO DO COUTO Nº 655 CAJURU,Av. Augusto Ritter, n.o 8.000 - Cachoeirinha - RS
146;GAME11;Outros;9,1;0,0708;0,00985;0,09;0,94;102;R$ 197 M;166948.0;0;0,0;0,0;0,0;0,0;
