Código,Segmento,Cotação,Liquidez Diaria,P/VP,Média DY (12M),Patrimônio,Volatilidade,Número de cotistas,Média dividendos,Bola de neve
AAZQ11,Indefinido,"R$ 7,28","R$ 1537150,04","0,77","1,3%",R$ 226 M,"17,28%",28223,"R$ 0,09",76
ALZM11,Fundo de Fundos,"R$ 8,02","R$ 168211,21","0,96","0,99%",R$ 127 M,"15,12%",10317,"R$ 0,08",101
APTO11,Imóveis Residenciais,"R$ 9,54","R$ 20441,20","0,94","0,94%",R$ 46 M,"19,6%",9871,"R$ 0,09",106
ARRI11,Papéis,"R$ 9,04","R$ 442039,29","1,03","1,1%",R$ 134 M,"9,47%",26524,"R$ 0,10",90
BBIG11,Serviços Financeiros Diversos,"R$ 9,25","R$ 630726,46","0,95","1,67%",R$ 962 M,"14,07%",15464,"R$ 0,15",59
BCFF11,Fundo de Fundos,"R$ 8,41","R$ 2670992,64","0,88","0,79%",R$ 1 B,"17,25%",356193,"R$ 0,07",126
BIME11,Indefinido,"R$ 7,19","R$ 72303,48","0,83","1,09%",R$ 50 M,"9,54%",8774,"R$ 0,08",91
BTCI11,Papéis,"R$ 9,91","R$ 2100654,80","0,97","0,97%",R$ 1 B,"10,7%",179542,"R$ 0,10",103
CPSH11,Indefinido,"R$ 10,78","R$ 1691698,56","0,94","0,92%",R$ 735 M,"15,38%",1993,"R$ 0,10",108
CPTR11,Indefinido,"R$ 8,24","R$ 1527994,32","0,84","1,19%",R$ 404 M,"14,06%",32131,"R$ 0,10",84
CPTS11,Papéis,"R$ 8,32","R$ 7744708,40","0,93","0,87%",R$ 2 B,"13,75%",389719,"R$ 0,07",114
CYCR11,Indefinido,"R$ 9,70","R$ 326895,48","1,0","1,1%",R$ 158 M,"10,94%",15865,"R$ 0,11",90
DAMA11,Misto,"R$ 10,08","R$ 263158,92","1,03","1,49%",R$ 31 M,"6,02%",441,"R$ 0,15",67
DVFF11,Fundo de Fundos,"R$ 7,53","R$ 39651,92","0,83","0,92%",R$ 99 M,"16,18%",1730,"R$ 0,07",108
EQIR11,Indefinido,"R$ 9,06","R$ 217354,80","0,92","1,07%",R$ 107 M,"11,81%",11797,"R$ 0,10",93
FGAA11,Indefinido,"R$ 8,50","R$ 1271622,50","0,88","1,2%",R$ 433 M,"10,51%",48702,"R$ 0,10",83
GALG11,Imóveis Industriais e Logísticos,"R$ 9,08","R$ 3640704,85","0,95","0,92%",R$ 1 B,"9,81%",197577,"R$ 0,08",108
GAME11,Indefinido,"R$ 9,12","R$ 117784,12","0,94","1,05%",R$ 210 M,"8,38%",24718,"R$ 0,10",95
GARE11,Imóveis Industriais e Logísticos,"R$ 9,03","R$ 4952073,52","0,95","0,92%",R$ 1 B,"6,81%",197577,"R$ 0,08",108
GGRC11,Imóveis Industriais e Logísticos,"R$ 11,07","R$ 1426150,00","0,99","0,8%",R$ 1 B,"7,75%",120270,"R$ 0,09",125
GRWA11,Indefinido,"R$ 10,19","R$ 12035,70","1,0","1,19%",R$ 28 M,"13,88%",2681,"R$ 0,12",84
HGAG11,Indefinido,"R$ 18,75","R$ 3486,12","0,79","0,86%",R$ 5 M,"56,51%",1322,"R$ 0,16",116
HGBL11,Misto,"R$ 10,36","R$ 20494,32","1,02","0,83%",R$ 24 M,"41,33%",214,"R$ 0,09",120
HREC11,Papéis,"R$ 8,45","R$ 238349,28","0,93","0,96%",R$ 466 M,"10,25%",2739,"R$ 0,08",104
IAAG11,Indefinido,"R$ 10,90","R$ 84785,65","1,13","1,05%",R$ 52 M,"13,42%",7310,"R$ 0,11",95
KISU11,Fundo de Fundos,"R$ 8,27","R$ 702684,50","0,94","0,87%",R$ 390 M,"11,8%",131218,"R$ 0,07",114
KNSC11,Papéis,"R$ 9,14","R$ 3970402,48","1,02","0,88%",R$ 1 B,"11,18%",160550,"R$ 0,08",113
